EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,Arc3FGA,PenaltyArc3FGA,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,NonHeaveArc3FGA,FoulsDrawn,BlockingFoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,TsPct,PenaltyTsPct,FG3APct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,FG2A,PenaltyFG2M,PenaltyFG2A,PtsUnassisted2s,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,ThreePtShootingFoulsDrawn,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,LiveBallTurnoverPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,ShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,Avg2ptShotDistance,LongMidRangeFGA,Fg2aBlocked,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,BlockingFouls,Loose Ball Fouls,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,NonShootingPenaltyNonTakeFouls,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,LongMidRangeFrequency,TwoPtShootingFoulsDrawnPct,SecondChanceOffPoss,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG3M,PtsAssisted2s,PtsUnassisted3s,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,Steals,LostBallSteals,DeadBallTurnovers,LostBallTurnovers,Offensive Fouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,SecondChanceAtRimFrequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Arc3FGM,PenaltyArc3FGM,PtsAssisted3s,NonHeaveArc3FGM,Fg3aBlocked,ThreePtAssists,Corner3Assists,SelfOReb,SecondChanceTurnovers,Assisted3sPct,FG3APctBlocked,Arc3PctBlocked,SelfORebPct,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,LongMidRangeAssists,2pt And 1 Free Throw Trips,DefLongMidRangeReboundPct,LongMidRangePctAssisted,BadPassSteals,RecoveredBlocks,BlocksRecoveredPct,Travels,LostBallOutOfBoundsTurnovers,BlockedLongMidRange,Blocked3s,BlockedCorner3,Clear Path Fouls,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Arc3Assists,OffThreePtRebounds,SecondChanceFg3Pct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceFtPoints,OffArc3ReboundPct,ShortMidRangePctBlocked,Offensive Fouls Drawn,Loose Ball Fouls Drawn,HeaveAttempts,BadPassOutOfBoundsTurnovers,SecondChanceAtRimFGM,PtsPutbacks,StepOutOfBoundsTurnovers,Charge Fouls Drawn,Technical Free Throw Trips,SecondChanceAtRimAccuracy,FTOffRebounds,OffFTReboundPct,LongMidRangePctBlocked,Charge Fouls,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,Defensive 3 Seconds Violations,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3pt And 1 Free Throw Trips,3SecondViolations,DefensiveGoaltends,BlockedArc3,OffensiveGoaltends,Corner3PctBlocked,team_id,year,season,team_vs
101110-101162-1718-201196-2400,1610612764,"Martell Webster, Marcin Gortat, Paul Pierce, Ramon Sessions, Drew Gooden","Webster, Gortat, Pierce, Sessions, Gooden",101110-101162-1718-201196-2400,WAS,35.0,1,1.0,-2.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.5,0.5,1.0,123.42857142857142,18.0,8.5,18.0,8.5,1.0,1.0,1.0,0.17505,0.17505,1.0,27.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2015,2014-15,False
101110-101162-1718-202322-203078,1610612764,"Martell Webster, Marcin Gortat, Paul Pierce, John Wall, Bradley Beal","Webster, Gortat, Pierce, Wall, Beal",101110-101162-1718-202322-203078,WAS,64.0,1,1.0,-1.0,3.0,3.0,3.0,3.0,6.0,,,,3.0,5.0,6.0,,3.0,5.0,,1.0,,3.0,,5.0,5.0,3.0,,1.25,1.25,,135.0,5.0,16.333333333333332,5.0,13.333333333333334,,,1.0,0.574,0.574,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2015,2014-15,False
101110-101162-1718-202322-2400,1610612764,"Martell Webster, Marcin Gortat, Paul Pierce, John Wall, Drew Gooden","Webster, Gortat, Pierce, Wall, Gooden",101110-101162-1718-202322-2400,WAS,204.0,2,3.0,-2.0,7.0,7.0,4.0,4.0,14.0,,,,5.0,5.0,7.0,,3.0,3.0,,3.0,1.0,6.0,2.0,5.0,3.0,4.0,2.0,0.35714285714285715,0.375,,98.82352941176471,9.571428571428571,19.571428571428573,9.571428571428571,13.0,,,0.75,0.64435,0.61925,0.6,,0.5714285714285714,,3.0,,1.0,,4.0,,2.0,,,,,,,2.0,,,,,,,0.75,,,0.5,,0.2,,5.45,1.0,1.0,3.0,1.0,4.0,4.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,0.25,0.3333333333333333,1.0,0.375,0.3333333333333333,0.5,0.25,0.25,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2015,2014-15,False
101110-101162-1718-202322-2403,1610612764,"Martell Webster, Marcin Gortat, Paul Pierce, John Wall, Nene","Webster, Gortat, Pierce, Wall, Nene",101110-101162-1718-202322-2403,WAS,810.0,4,14.0,-10.0,30.0,27.0,10.0,,57.0,3.0,2.0,4.0,7.0,26.0,36.0,3.0,,7.0,3.0,5.0,,10.0,,24.0,7.0,10.0,,0.4642857142857143,0.35,0.17391304347826086,101.33333333333333,14.0,14.444444444444445,13.6,14.0,0.13043478260869565,0.2,0.4782608695652174,0.5100608695652175,0.48356000000000005,0.2692307692307692,25.65,0.3333333333333333,3.0,7.0,,2.0,8.0,19.0,2.0,7.0,12.0,3.0,1.0,4.0,2.0,3.0,4.0,,0.42105263157894735,0.2857142857142857,0.41304347826086957,0.35,0.75,0.30434782608695654,0.42857142857142855,0.6,0.2,,0.17857142857142858,,9.257894736842106,6.0,2.0,2.0,,6.0,8.0,,,5.0,,,,,,0.10526315789473684,0.2857142857142857,,0.6666666666666666,0.75,1.0,,0.2608695652173913,0.20833333333333334,1.0,1.0,3.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,3.0,2.0,2.0,1.0,1.0,4.0,2.0,4.0,2.0,3.0,3.0,1.0,2.0,1.0,0.25,0.25,0.25,0.3333333333333333,0.25,0.5,0.5,0.5,0.18181818181818182,0.8,0.14285714285714285,0.25,0.25,0.6666666666666666,1.0,0.3333333333333333,0.2608695652173913,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.043478260869565216,1.0,1.0,0.5,0.1,1.0,0.4429,0.07692307692307693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2015,2014-15,False
101110-101162-1718-202322-2446,1610612764,"Martell Webster, Marcin Gortat, Paul Pierce, John Wall, Rasual Butler","Webster, Gortat, Pierce, Wall, Butler",101110-101162-1718-202322-2446,WAS,133.0,2,2.0,,8.0,6.0,8.0,6.0,14.0,2.0,2.0,4.0,,6.0,6.0,4.0,,6.0,2.0,,,,,6.0,6.0,8.0,,0.3,0.3,0.4,151.57894736842104,10.625,8.0,10.0,7.833333333333333,0.2,0.2,1.0,0.5850350000000001,0.5850350000000001,1.0,25.474999999999998,1.0,,6.0,,6.0,,6.0,,6.0,,,,1.0,1.0,1.0,2.0,,,,0.3,0.3,,0.6,,,0.6,,,,0.7833333333333333,,1.0,1.0,,1.0,4.0,,,,1.0,1.0,,1.0,,0.16666666666666666,0.16666666666666666,,0.5,0.5,0.5,,,,2.0,2.0,,,,1.0,2.0,1.0,2.0,2.0,,2.0,,2.0,,3.0,,1.0,,,3.0,3.0,,3.0,1.0,1.0,1.0,,1.0,,,0.5,0.5,0.5,,,,0.5,,0.42857142857142855,0.5,,,,,,,,,,,0.2,0.5,0.5,1.0,0.2,0.5,0.6649,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,0.25,0.5,0.3333333333333333,1.0,0.5,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2015,2014-15,False
101110-101162-1889-202322-2446,1610612764,"Martell Webster, Marcin Gortat, Andre Miller, John Wall, Rasual Butler","Webster, Gortat, Miller, Wall, Butler",101110-101162-1889-202322-2446,WAS,4.0,1,,2.0,1.0,,1.0,,1.0,,,,,2.0,,,,2.0,,,,,,2.0,2.0,1.0,,1.0,1.0,,360.0,4.0,,4.0,,,,,0.2982,0.2982,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,2.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2015,2014-15,False
101110-101162-1889-2400-2446,1610612764,"Martell Webster, Marcin Gortat, Andre Miller, Drew Gooden, Rasual Butler","Webster, Gortat, Miller, Gooden, Butler",101110-101162-1889-2400-2446,WAS,94.0,1,2.0,5.0,3.0,3.0,3.0,3.0,6.0,,,,1.0,5.0,,,1.0,5.0,,1.0,,1.0,,5.0,5.0,3.0,,0.5,0.5,,91.91489361702128,20.0,11.333333333333334,12.333333333333334,11.333333333333334,,,0.2,0.44966,0.44966,1.0,,1.0,,1.0,,1.0,2.0,5.0,2.0,5.0,,,,,,,,,0.4,0.4,0.4,0.4,,0.2,,,0.2,,0.2,,16.36,4.0,1.0,1.0,,2.0,4.0,,,1.0,,,,,,0.2,1.0,,1.0,1.0,,,0.8,0.2,1.0,,,,2.0,,,,,,,2.0,,,4.0,,2.0,2.0,,,4.0,2.0,1.0,2.0,,,,,,1.0,1.0,,,,,,,0.6666666666666666,1.0,0.6666666666666666,1.0,0.5,1.0,,,,,,,0.5,0.5,,,,,,,0.37005,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2015,2014-15,False
101110-101162-1889-2446-2743,1610612764,"Martell Webster, Marcin Gortat, Andre Miller, Rasual Butler, Kris Humphries","Webster, Gortat, Miller, Butler, Humphries",101110-101162-1889-2446-2743,WAS,135.0,2,2.0,,5.0,6.0,3.0,6.0,11.0,1.0,,1.0,2.0,4.0,4.0,,2.0,4.0,1.0,2.0,,2.0,,4.0,4.0,3.0,,0.5,1.0,0.3333333333333333,117.33333333333333,13.0,11.666666666666666,13.0,11.666666666666666,0.3333333333333333,,1.0,0.6694333333333334,0.7995,1.0,26.5,0.6,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,,1.0,1.0,,,,0.5,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5,0.5,1.0,1.0,0.25,,0.85,,,1.0,,2.0,2.0,,,1.0,,,,,,,,,1.0,1.0,1.0,,,0.3333333333333333,,,,,,,,,,,,,,,2.0,,1.0,1.0,1.0,,2.0,,1.0,,2.0,2.0,,1.0,,1.0,1.0,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2015,2014-15,False
101110-101162-201196-202322-2400,1610612764,"Martell Webster, Marcin Gortat, Ramon Sessions, John Wall, Drew Gooden","Webster, Gortat, Sessions, Wall, Gooden",101110-101162-201196-202322-2400,WAS,385.0,2,6.0,7.0,14.0,13.0,,3.0,27.0,1.0,,2.0,4.0,16.0,9.0,,,,1.0,2.0,,4.0,,16.0,,,,0.5714285714285714,,0.16666666666666666,100.98701298701299,11.785714285714286,16.923076923076923,11.785714285714286,15.153846153846153,0.08333333333333333,,0.3333333333333333,0.48890833333333333,,,24.65,,2.0,2.0,,,6.0,10.0,,,6.0,,,,,2.0,2.0,,0.6,,0.5,,,0.16666666666666666,1.0,1.0,,,0.14285714285714285,,13.040000000000001,6.0,,7.0,,7.0,7.0,,,2.0,2.0,2.0,,2.0,,,,,0.5833333333333334,0.5833333333333334,0.5,1.0,0.5,0.16666666666666666,,,1.0,2.0,3.0,,1.0,,,,,,,,6.0,,3.0,3.0,2.0,,6.0,,,,2.0,,,,,0.5,0.5,,,,,,,,,,,,,,1.0,0.16666666666666666,0.5,0.5,,0.5,0.5,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.6,0.3333333333333333,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2015,2014-15,False
101110-101162-201196-202322-2403,1610612764,"Martell Webster, Marcin Gortat, Ramon Sessions, John Wall, Nene","Webster, Gortat, Sessions, Wall, Nene",101110-101162-201196-202322-2403,WAS,100.0,2,2.0,-6.0,3.0,4.0,,,7.0,,,,,,6.0,,,,,,,,,,,,,,,,100.8,17.0,12.25,17.0,12.25,,,,0.4285,,,,,,,,,,1.0,,,,1.0,1.0,2.0,,,,,,,,,0.5,,,,,,,,18.2,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2015,2014-15,False
101110-101162-201196-202338-2446,1610612764,"Martell Webster, Marcin Gortat, Ramon Sessions, Kevin Seraphin, Rasual Butler","Webster, Gortat, Sessions, Seraphin, Butler",101110-101162-201196-202338-2446,WAS,108.0,2,2.0,-4.0,3.0,4.0,3.0,3.0,7.0,,,,,,4.0,,,,,,,,,,,3.0,,,,,93.33333333333333,14.0,16.5,14.0,12.0,,,,,,,,1.0,,,,,,,,,,,,3.0,3.0,1.0,4.0,,,,,,,,,,,,,,,,,2.0,,2.0,2.0,,,,,,,,,,,,1.0,0.6666666666666666,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2015,2014-15,False
101110-101162-201196-203078-2400,1610612764,"Martell Webster, Marcin Gortat, Ramon Sessions, Bradley Beal, Drew Gooden","Webster, Gortat, Sessions, Beal, Gooden",101110-101162-201196-203078-2400,WAS,150.0,2,2.0,-1.0,4.0,5.0,2.0,3.0,9.0,,,,1.0,3.0,4.0,,,,,2.0,1.0,2.0,,3.0,,2.0,,0.375,,,86.4,20.75,13.4,19.25,13.4,,,,0.4248,,,,0.5,,,,,1.0,3.0,,,,1.0,,2.0,2.0,,1.0,,0.3333333333333333,,0.3333333333333333,,0.5,,,,,,0.25,,12.166666666666666,1.0,,1.0,,1.0,2.0,,,1.0,,,,,,,,,1.0,1.0,1.0,,0.3333333333333333,0.25,1.0,,1.0,2.0,,,,,,,,1.0,,,2.0,,1.0,1.0,,1.0,2.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,,,0.5,,0.5,,1.0,,,,0.6666666666666666,0.5,0.5,1.0,,,,,,,,,0.4566,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2015,2014-15,False
101110-101162-201196-203078-2403,1610612764,"Martell Webster, Marcin Gortat, Ramon Sessions, Bradley Beal, Nene","Webster, Gortat, Sessions, Beal, Nene",101110-101162-201196-203078-2403,WAS,43.0,1,1.0,-1.0,1.0,1.0,,,2.0,,,,,2.0,3.0,,,,,,,,,2.0,,,,1.0,,,66.97674418604652,20.0,23.0,20.0,23.0,,,,0.3975,,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,16.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,2.0,,1.0,1.0,,,2.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2015,2014-15,False
101110-101162-201196-2400-2446,1610612764,"Martell Webster, Marcin Gortat, Ramon Sessions, Drew Gooden, Rasual Butler","Webster, Gortat, Sessions, Gooden, Butler",101110-101162-201196-2400-2446,WAS,126.0,2,2.0,3.0,4.0,4.0,1.0,4.0,8.0,,,,2.0,4.0,1.0,,2.0,2.0,,1.0,,2.0,1.0,4.0,2.0,1.0,1.0,0.5,1.0,,91.42857142857143,14.25,17.25,14.25,17.25,,,0.3333333333333333,0.4709666666666667,,0.5,,0.25,1.0,1.0,,,1.0,3.0,,,,,,,,1.0,1.0,,0.3333333333333333,,0.3333333333333333,,,0.3333333333333333,1.0,1.0,,,,,8.033333333333333,1.0,,1.0,,3.0,3.0,,,,1.0,1.0,,1.0,,,,,0.5,0.75,,,0.3333333333333333,,,,,1.0,,,,,,,,,,,2.0,,1.0,1.0,1.0,,2.0,,2.0,,,,,,,1.0,1.0,,,,,,,,1.0,,,,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2015,2014-15,False
101110-101162-202066-202322-2403,1610612764,"Martell Webster, Marcin Gortat, Garrett Temple, John Wall, Nene","Webster, Gortat, Temple, Wall, Nene",101110-101162-202066-202322-2403,WAS,80.0,1,1.0,-1.0,3.0,2.0,,2.0,5.0,,,,,2.0,3.0,,,,,,,,,2.0,,,,0.5,,,90.0,14.666666666666666,18.0,14.666666666666666,18.0,,,,0.363,,,,,,,,,1.0,2.0,,,,1.0,1.0,1.0,,,1.0,,0.5,,0.5,,1.0,,,,,,,,16.1,1.0,,,,,,,,,,,,,1.0,,,,,,,,0.5,,,,1.0,1.0,,,,,,,,,,,2.0,,1.0,1.0,,1.0,2.0,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2015,2014-15,False
101110-101162-202066-2446-2743,1610612764,"Martell Webster, Marcin Gortat, Garrett Temple, Rasual Butler, Kris Humphries","Webster, Gortat, Temple, Butler, Humphries",101110-101162-202066-2446-2743,WAS,217.0,1,4.0,-12.0,6.0,7.0,,,13.0,1.0,,1.0,,2.0,14.0,,,,1.0,1.0,,,,2.0,,,,0.2,,0.2,86.26728110599078,20.833333333333332,13.142857142857142,20.833333333333332,13.142857142857142,0.2,,0.4,0.44383999999999996,,,24.8,,,1.0,,,1.0,4.0,,,,1.0,1.0,1.0,,,1.0,,0.25,,0.2,,1.0,0.2,,,,,,,12.2,2.0,1.0,1.0,,1.0,1.0,,,,,,,,,0.25,1.0,,1.0,1.0,,,0.4,,,,,1.0,1.0,,,,,,,,,,2.0,,1.0,1.0,,,2.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,0.2,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2015,2014-15,False
101110-101162-202322-202338-2446,1610612764,"Martell Webster, Marcin Gortat, John Wall, Kevin Seraphin, Rasual Butler","Webster, Gortat, Wall, Seraphin, Butler",101110-101162-202322-202338-2446,WAS,165.0,1,3.0,5.0,7.0,7.0,7.0,,14.0,1.0,1.0,2.0,2.0,13.0,8.0,2.0,2.0,13.0,1.0,2.0,1.0,3.0,,13.0,13.0,7.0,,0.9285714285714286,0.9285714285714286,0.3333333333333333,122.18181818181819,9.571428571428571,14.0,9.571428571428571,13.714285714285714,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.6222166666666666,0.6222166666666666,1.0,24.8,1.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,1.0,1.0,0.9166666666666666,0.9166666666666666,,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,0.2857142857142857,,2.8,,,3.0,,3.0,3.0,,,2.0,2.0,1.0,,2.0,,,,,0.75,0.6,,,,0.4,,,2.0,2.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,4.0,,2.0,3.0,1.0,1.0,7.0,,,,1.0,,,,,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,0.5,0.3333333333333333,1.0,1.0,0.5,,,0.16666666666666666,1.0,1.0,,0.16666666666666666,1.0,,,,,3.0,,,1.0,1.0,,,1.0,,,,1.0,,,,,,1.0,1.0,,1.0,1.0,0.5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2015,2014-15,False
